t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,153.199,0.609,263.522,502.687,0.2,3.001,85.902,76.65,80.612,115.66,179.375
0.1,11.04,1.0,186.77,202.494,0.2,2.292,78.053,72.031,74.452,166.302,188.779
0.2,16.641,1.0,179.384,202.761,0.2,0.745,73.862,70.653,72.299,149.822,180.735
0.30000000000000004,14.955,1.0,148.173,175.874,0.2,1.401,73.5,67.863,70.833,130.415,146.042
0.4,2.618,0.652,133.707,139.597,0.2,1.5,71.62,66.619,67.817,131.17,132.51
0.5,0.772,0.435,132.337,133.309,0.2,1.479,70.578,66.594,67.904,130.984,132.435
0.6,3.922,1.0,136.169,141.754,0.2,0.826,71.146,68.686,69.759,131.084,135.336
0.7,4.804,1.0,134.808,141.867,0.2,0.761,71.152,68.473,69.693,128.703,132.689
0.7999999999999999,1.466,1.0,129.497,131.908,0.2,0.341,70.298,69.03,69.76,125.346,129.792
0.8999999999999999,1.892,1.0,129.957,133.19,0.2,1.487,70.57,66.816,68.844,125.576,129.931
0.9999999999999999,4.543,0.739,133.031,143.346,0.2,0.994,69.76,66.508,67.236,129.34,131.006
1.0999999999999999,7.007,0.783,127.559,143.092,0.2,1.118,70.618,66.793,69.243,122.012,123.897
1.2,1.317,1.0,122.421,124.494,0.2,0.501,69.324,67.622,68.461,120.066,122.511
1.3,0.989,1.0,121.859,124.178,0.2,0.48,68.582,66.848,68.071,119.956,121.712
1.4000000000000001,0.968,1.0,121.595,123.703,0.2,0.703,68.27,66.17,66.806,119.398,121.735
1.5000000000000002,3.87,0.87,122.279,133.409,0.2,0.122,66.559,66.106,66.363,116.499,121.843
1.6000000000000003,8.299,0.87,133.537,142.578,0.2,1.082,69.182,66.096,67.115,116.529,137.704
1.7000000000000004,3.674,0.739,138.692,145.958,0.2,1.275,69.965,66.138,67.059,131.462,138.128
1.8000000000000005,5.481,0.826,132.971,145.316,0.2,1.052,69.954,66.475,68.039,123.901,132.808
1.9000000000000006,5.442,1.0,131.324,151.433,0.2,0.677,68.729,66.243,66.998,123.809,130.853
2.0000000000000004,8.217,1.0,125.681,152.072,0.2,1.858,71.826,66.248,69.716,114.01,126.857
2.1000000000000005,3.18,1.0,116.555,123.638,0.2,1.11,71.843,68.66,70.087,110.4,115.883
2.2000000000000006,2.356,0.913,113.839,116.517,0.2,1.372,69.836,66.433,67.838,107.539,114.399
2.3000000000000007,1.489,0.913,115.104,117.344,0.2,1.31,69.722,66.45,67.723,110.371,115.44
2.400000000000001,1.005,1.0,116.243,118.046,0.2,0.895,69.699,66.713,67.723,114.428,115.907
2.500000000000001,12.877,0.826,124.326,144.921,0.2,1.803,72.222,66.645,67.82,114.8,116.846
2.600000000000001,4.762,0.87,147.256,155.628,0.2,1.476,72.9,67.774,70.993,138.185,146.714
2.700000000000001,2.789,1.0,151.623,155.964,0.2,1.389,72.479,68.029,69.694,147.178,152.195
2.800000000000001,8.093,1.0,143.805,155.413,0.2,1.4,74.337,70.195,71.728,129.385,145.51
2.9000000000000012,11.619,1.0,124.385,144.131,0.2,2.0,74.339,67.542,70.349,109.079,124.261
3.0000000000000013,3.657,1.0,109.912,117.861,0.2,0.456,68.848,67.183,67.728,104.913,108.992
3.1000000000000014,1.678,1.0,105.706,109.258,0.2,0.159,67.741,67.148,67.484,102.829,105.708
3.2000000000000015,1.193,1.0,104.073,106.01,0.2,0.309,67.925,66.719,67.359,101.358,104.104
3.3000000000000016,4.036,0.913,105.8,117.37,0.2,0.293,67.44,66.397,66.844,101.824,104.524
3.4000000000000017,5.38,0.783,110.233,117.172,0.2,0.144,66.994,66.428,66.639,101.76,111.667
3.5000000000000018,7.056,0.696,117.448,134.584,0.2,0.171,66.82,66.195,66.529,109.76,115.726
3.600000000000002,9.698,0.696,121.742,140.153,0.2,0.214,66.883,66.178,66.466,107.9,121.117
3.700000000000002,7.964,0.739,120.099,140.47,0.2,0.127,66.746,66.284,66.5,104.881,120.09
3.800000000000002,5.477,0.522,120.714,128.45,0.2,1.003,69.184,66.336,67.099,109.955,122.625
3.900000000000002,0.97,0.87,124.042,125.641,0.2,0.967,69.169,66.691,67.856,122.444,124.202
4.000000000000002,9.714,1.0,130.221,168.526,0.2,0.774,68.795,66.71,67.39,117.29,125.7
4.100000000000001,12.337,1.0,145.017,172.866,0.2,1.354,72.291,68.102,69.558,134.353,141.479
4.200000000000001,20.235,1.0,171.629,196.299,0.2,1.458,73.389,68.747,70.794,141.769,177.714
4.300000000000001,7.034,1.0,186.666,195.947,0.2,0.42,70.349,68.854,69.851,171.66,189.293
4.4,4.747,1.0,179.789,189.858,0.2,1.367,70.168,66.538,67.964,172.408,180.783
4.5,20.262,0.652,150.662,181.217,0.2,1.72,70.806,66.524,68.147,134.393,139.099
4.6,5.322,1.0,131.667,142.02,0.2,1.187,70.795,67.245,68.803,122.665,130.304
4.699999999999999,4.631,1.0,122.332,129.137,0.2,0.605,69.116,67.286,68.298,114.253,123.105
4.799999999999999,3.989,1.0,113.568,120.69,0.2,0.275,69.036,67.883,68.439,107.987,113.6
4.899999999999999,1.052,1.0,110.365,111.734,0.2,0.352,68.696,67.657,68.245,107.754,110.732
